post_id,title,url,code,country,category,process,tech_group,readiness,source_chars,has_10kg,has_sastojci,has_postupak,has_granulation_or_cut,has_casing,has_pac_salt,has_drying_smoking_maturation,has_garlic,has_errors_solutions,has_storage_serving
2043,"PFÄLZER SAUMAGEN (FALAČKA SVINJSKA ŽELUDAC-KOBASICA)",https://drycured.com/recepti-baza/pfalzer-saumagen-falacka-svinjska-zeludac-kobasica/,MD-PFALZER_SAUMAGEN_FALACKA_SVINJSKA_ZELUDAC_KOBASICA,Hrvatska,"Suha kobasica","Sušeno | za kuhanje",SAUSAGE_SALAMI,AUTO_DCV5_CANDIDATE_SAUSAGE,4741,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
2047,"Domaći Bratwurst",https://drycured.com/recepti-baza/domaci-bratwurst/,MD-DOMACI_BRATWURST,Njemačka,"Sušeni dimljeni cijeli komad",Sušeno,SAUSAGE_SALAMI,AUTO_DCV5_CANDIDATE_SAUSAGE,3704,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
2049,"Hausmacher Mettwurst (Domaća dimljena kobasica za mazanje)",https://drycured.com/recepti-baza/hausmacher-mettwurst-domaca-dimljena-kobasica-za-mazanje/,MD-HAUSMACHER_METTWURST_DOMACA_DIMLJENA_KOBASICA_ZA_MAZANJE,Njemačka,"Suha kobasica",dimljenje,SAUSAGE_SALAMI,AUTO_DCV5_CANDIDATE_SAUSAGE,4079,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
2051,"ŠKOTSKI LORNE SAUSAGE (ČETVRTASTI KOBASIČASTI ODREZAK)",https://drycured.com/recepti-baza/skotski-lorne-sausage-cetvrtasti-kobasicasti-odrezak/,MD-SKOTSKI_LORNE_SAUSAGE_CETVRTASTI_KOBASICASTI_ODREZAK,Škotska,"Suha kobasica",Sušeno,SAUSAGE_SALAMI,AUTO_DCV5_CANDIDATE_SAUSAGE,4267,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
2052,"Jamón Ibérico de Bellota - Iberijski Pršut od Žira",https://drycured.com/recepti-baza/jamon-iberico-de-bellota-iberijski-prsut-od-zira/,MD-JAMON_IBERICO_DE_BELLOTA_IBERIJSKI_PRSUT_OD_ZIRA,Španjolska,"Pršut | sušena šunka","sušenje + zrenje + soljenje/salamurenje",HAM_PROSCIUTTO,AUTO_DCV5_CANDIDATE_WHOLE_CUT,3757,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
2053,"Chorizo de Pamplona - Čorizo iz Pamplone",https://drycured.com/recepti-baza/chorizo-de-pamplona-corizo-iz-pamplone/,MD-CHORIZO_DE_PAMPLONA_CORIZO_IZ_PAMPLONE,Španjolska,"Suha kobasica","fermentacija + sušenje + zrenje",SAUSAGE_SALAMI,AUTO_DCV5_CANDIDATE_SAUSAGE,4504,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
2055,"Coppa Piacentina - Piacentinska Coppa",https://drycured.com/recepti-baza/coppa-piacentina-piacentinska-coppa/,MD-COPPA_PIACENTINA_PIACENTINSKA_COPPA,Italija,"coppa | sušeni svinjski vrat","soljenje + zrenje",WHOLE_CUT,AUTO_DCV5_CANDIDATE_WHOLE_CUT,3950,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
2056,"Nduja Calabrese - Kalabrijska Nduja",https://drycured.com/recepti-baza/nduja-calabrese-kalabrijska-nduja/,MD-NDUJA_CALABRESE_KALABRIJSKA_NDUJA,Italija,"Sušeni dimljeni cijeli komad","fermentacija + sušenje + zrenje",SAUSAGE_SALAMI,AUTO_DCV5_CANDIDATE_SAUSAGE,3775,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
2057,"Bresaola Valtellinese - Valtelinska Bresaola",https://drycured.com/recepti-baza/bresaola-valtellinese-valtelinska-bresaola/,MD-BRESAOLA_VALTELLINESE_VALTELINSKA_BRESAOLA,Italija,"Sušeni cijeli komad","soljenje + sušenje + zrenje",WHOLE_CUT,AUTO_DCV5_CANDIDATE_WHOLE_CUT,3710,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
2058,"Guanciale Romano - Rimski Guanciale",https://drycured.com/recepti-baza/guanciale-romano-rimski-guanciale/,MD-GUANCIALE_ROMANO_RIMSKI_GUANCIALE,Hrvatska,"suhomesnati proizvod","sušenje + zrenje",BACON_FAT,AUTO_DCV5_CANDIDATE_WHOLE_CUT,3831,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
