path,name,extension,category,size_bytes,modified_utc,sha256
04_OPERATION/recipe_master/reports/type_router_readonly_audit_v1_2026-06-18_17-46-43/tool_code_without_comments.php,tool_code_without_comments.php,.php,SCRIPT,25107,2026-06-18T17:50:55.181830+00:00,bbd7f503690a4168b00596408a6d9e75a00a65565978850a8f59cb9045d693d0
04_OPERATION/recipe_master/reports/type_router_stabilized_audit_v1_1_2026-06-18_17-56-31/git_status_before.txt,git_status_before.txt,.txt,OTHER,93,2026-06-18T17:56:31.669468+00:00,
04_OPERATION/recipe_master/reports/type_router_stabilized_audit_v1_1_2026-06-18_17-56-31/recipe_type_stabilized_audit_v1_1.csv,recipe_type_stabilized_audit_v1_1.csv,.csv,REPORT_DATA,332991,2026-06-18T17:56:31.770469+00:00,2cde71bf70e13de9b99e2d11d4bab0e2054bfaf66e9bdb7b51667497045778d7
04_OPERATION/recipe_master/reports/type_router_stabilized_audit_v1_1_2026-06-18_17-56-31/recipe_type_stabilized_audit_v1_1.json,recipe_type_stabilized_audit_v1_1.json,.json,REPORT_DATA,1289804,2026-06-18T17:56:31.790469+00:00,4a6717c326ac34bc9fc8edc8919cdaae0a0a8dd300e15372bc43fbedd6119d4f
04_OPERATION/recipe_master/reports/type_router_stabilized_audit_v1_1_2026-06-18_17-56-31/recipe_type_stabilized_audit_v1_1_summary.md,recipe_type_stabilized_audit_v1_1_summary.md,.md,REPORT_MARKDOWN,26477,2026-06-18T17:56:31.792470+00:00,9cb3ebcfbe367b052db4d3dccdcb52bb88a87e8a5e95c9988225f15bdd5f42b0
04_OPERATION/recipe_master/reports/type_router_stabilized_audit_v1_1_2026-06-18_17-56-31/stabilized_audit_run_output.txt,stabilized_audit_run_output.txt,.txt,OTHER,774,2026-06-18T17:56:31.792470+00:00,
04_OPERATION/recipe_master/staged_contracts_v2/batch_candidates/2972_hr-sl-001-slavonski-kulen-pdo-eu_contract_v2.json,2972_hr-sl-001-slavonski-kulen-pdo-eu_contract_v2.json,.json,RECIPE_SOURCE_CANDIDATE_DATA,33163,2026-06-15T18:15:18.921348+00:00,09a52179fa543399e05d713d218af602a9ddb20fe15319cc6fa320c81b42d44f
04_OPERATION/recipe_master/staged_contracts_v2/batch_candidates/2973_hr-sl-002-kulenova-seka_contract_v2.json,2973_hr-sl-002-kulenova-seka_contract_v2.json,.json,RECIPE_SOURCE_CANDIDATE_DATA,19882,2026-06-15T18:15:18.922348+00:00,9ba5e39c28b8be90853adbb31f70d6754cd573f695aaa9e3aefa43dd1aca9cc5
04_OPERATION/recipe_master/staged_contracts_v2/batch_candidates/2974_hr-sl-003-baranjski-kulen-zozp-eu_contract_v2.json,2974_hr-sl-003-baranjski-kulen-zozp-eu_contract_v2.json,.json,RECIPE_SOURCE_CANDIDATE_DATA,26373,2026-06-15T18:15:18.925348+00:00,c4c7af4a9127359ee477272145e8ed7b1c29ce660bb0c02be7b09e5a1dae1718
04_OPERATION/recipe_master/staged_contracts_v2/batch_candidates/2975_hr-sl-004-dakovacki-kulen_contract_v2.json,2975_hr-sl-004-dakovacki-kulen_contract_v2.json,.json,RECIPE_SOURCE_CANDIDATE_DATA,26137,2026-06-15T18:15:18.927348+00:00,a5a8d5231db112c232774a6c32cc4e115fc522d948e14ca21f7b4a09116f6c9d
