post_type	ID	post_title	post_name	title_status	description_status
dry_recipe	2394	Pastarma (Пастърма)	pastarma-%d0%bf%d0%b0%d1%81%d1%82%d1%8a%d1%80%d0%bc%d0%b0	MISSING_TITLE	MISSING_DESC
dry_recipe	2395	Banski Starec (Бански старец)	banski-starec-%d0%b1%d0%b0%d0%bd%d1%81%d0%ba%d0%b8-%d1%81%d1%82%d0%b0%d1%80%d0%b5%d1%86	MISSING_TITLE	MISSING_DESC
dry_recipe	2396	Sastojci (za 5 kg kobasica)	sastojci-za-5-kg-kobasica	MISSING_TITLE	MISSING_DESC
dry_recipe	2398	Traditionele Droge Worst (Klasična suha kobasica)	traditionele-droge-worst-klasicna-suha-kobasica	MISSING_TITLE	MISSING_DESC
dry_recipe	2399	Rookworst (Dimljena kobasica)	rookworst-dimljena-kobasica	MISSING_TITLE	MISSING_DESC
dry_recipe	2402	Lountza (Λούντζα)	lountza-%ce%bb%ce%bf%cf%8d%ce%bd%cf%84%ce%b6%ce%b1	MISSING_TITLE	MISSING_DESC
dry_recipe	2403	Hiromeri (Χοιρομέρι)	hiromeri-%cf%87%ce%bf%ce%b9%cf%81%ce%bf%ce%bc%ce%ad%cf%81%ce%b9	MISSING_TITLE	MISSING_DESC
dry_recipe	2407	Lounza (Λούντζα) - Dimljena svinjska potrbušina	lounza-%ce%bb%ce%bf%cf%8d%ce%bd%cf%84%ce%b6%ce%b1-dimljena-svinjska-potrbusina	MISSING_TITLE	MISSING_DESC
dry_recipe	2408	Tsamarella (Τσαμαρέλλα) - Sušena kozletina	tsamarella-%cf%84%cf%83%ce%b1%ce%bc%ce%b1%cf%81%ce%ad%ce%bb%ce%bb%ce%b1-susena-kozletina	MISSING_TITLE	MISSING_DESC
dry_recipe	2409	Hiromeri (Χοιρομέρι) - Ciparski pršut	hiromeri-%cf%87%ce%bf%ce%b9%cf%81%ce%bf%ce%bc%ce%ad%cf%81%ce%b9-ciparski-prsut	MISSING_TITLE	MISSING_DESC
dry_recipe	2410	Apohti (Απόχτι) - Dimljeni svinjski file	apohti-%ce%b1%cf%80%cf%8c%cf%87%cf%84%ce%b9-dimljeni-svinjski-file	MISSING_TITLE	MISSING_DESC
dry_recipe	2411	Pastourma (Παστουρμάς) - Ciparski začinjeni sušeni goveđi file	pastourma-%cf%80%ce%b1%cf%83%cf%84%ce%bf%cf%85%cf%81%ce%bc%ce%ac%cf%82-ciparski-zacinjeni-suseni-govedi-file	MISSING_TITLE	MISSING_DESC
dry_recipe	2412	?? GRČKA - Tradicionalni recepti za Loukaniko	%f0%9f%87%ac%f0%9f%87%b7-grcka-tradicionalni-recepti-za-loukaniko	MISSING_TITLE	MISSING_DESC
dry_recipe	2413	?? ALBANIJA - Tradicionalni recepti za Salçe	%f0%9f%87%a6%f0%9f%87%b1-albanija-tradicionalni-recepti-za-salce	MISSING_TITLE	MISSING_DESC
dry_recipe	2414	?? FRANCUSKA - Tradicionalni recepti za saucisson	%f0%9f%87%ab%f0%9f%87%b7-francuska-tradicionalni-recepti-za-saucisson	MISSING_TITLE	MISSING_DESC
dry_recipe	2415	?? NJEMAČKA - Tradicionalni recepti za Wurst	%f0%9f%87%a9%f0%9f%87%aa-njemacka-tradicionalni-recepti-za-wurst	MISSING_TITLE	MISSING_DESC
dry_recipe	2416	?? ITALIJA - Tradicionalni recepti za salame	%f0%9f%87%ae%f0%9f%87%b9-italija-tradicionalni-recepti-za-salame	MISSING_TITLE	MISSING_DESC
dry_recipe	2417	?? PORTUGAL - Tradicionalni recepti za Linguiça	%f0%9f%87%b5%f0%9f%87%b9-portugal-tradicionalni-recepti-za-linguica	MISSING_TITLE	MISSING_DESC
dry_recipe	2418	?? FRANCUSKA - Tradicijski recepti za saucisson (30 recepata)	%f0%9f%87%ab%f0%9f%87%b7-francuska-tradicijski-recepti-za-saucisson-30-recepata	MISSING_TITLE	MISSING_DESC
dry_recipe	2419	?? ČEŠKA - Tradicionalni recepti	%f0%9f%87%a8%f0%9f%87%bf-ceska-tradicionalni-recepti	MISSING_TITLE	MISSING_DESC
dry_recipe	2420	?? SLOVAČKA - Tradicionalni recepti	%f0%9f%87%b8%f0%9f%87%b0-slovacka-tradicionalni-recepti	MISSING_TITLE	MISSING_DESC
dry_recipe	2421	?? POLJSKA - Tradicionalni recepti	%f0%9f%87%b5%f0%9f%87%b1-poljska-tradicionalni-recepti	MISSING_TITLE	MISSING_DESC
dry_recipe	2422	?? UKRAJINA - Tradicionalni recepti	%f0%9f%87%ba%f0%9f%87%a6-ukrajina-tradicionalni-recepti	MISSING_TITLE	MISSING_DESC
dry_recipe	2423	?? ŠVEDSKA - Tradicionalni recepti	%f0%9f%87%b8%f0%9f%87%aa-svedska-tradicionalni-recepti	MISSING_TITLE	MISSING_DESC
dry_recipe	2424	?? LATVIJA - Tradicionalni recepti	%f0%9f%87%b1%f0%9f%87%bb-latvija-tradicionalni-recepti	MISSING_TITLE	MISSING_DESC
dry_recipe	2425	?? NIZOZEMSKA - Tradicionalni recepti	%f0%9f%87%b3%f0%9f%87%b1-nizozemska-tradicionalni-recepti	MISSING_TITLE	MISSING_DESC
dry_recipe	2426	?? BELGIJA - Tradicionalni recepti	%f0%9f%87%a7%f0%9f%87%aa-belgija-tradicionalni-recepti	MISSING_TITLE	MISSING_DESC
dry_recipe	2427	?? LUKSEMBURG - Tradicionalni recepti	%f0%9f%87%b1%f0%9f%87%ba-luksemburg-tradicionalni-recepti	MISSING_TITLE	MISSING_DESC
dry_recipe	2428	Durmitorska kastradina	durmitorska-kastradina	MISSING_TITLE	MISSING_DESC
dry_recipe	2429	Crmničke goveđe pastrve	crmnicke-govede-pastrve	MISSING_TITLE	MISSING_DESC
dry_recipe	2430	Vasojevićka preukuša	vasojevicka-preukusa	MISSING_TITLE	MISSING_DESC
dry_recipe	2432	Kučka pršura	kucka-prsura	MISSING_TITLE	MISSING_DESC
dry_recipe	2433	Crnogorska pečenica	crnogorska-pecenica	MISSING_TITLE	MISSING_DESC
dry_recipe	2434	Crnogorska kobasica	crnogorska-kobasica	MISSING_TITLE	MISSING_DESC
dry_recipe	2435	Crnogorska stelja	crnogorska-stelja	MISSING_TITLE	MISSING_DESC
dry_recipe	2436	Crnogorski suđuk	crnogorski-suduk	MISSING_TITLE	MISSING_DESC
dry_recipe	2437	Drniški Začinjeni Vrat s Planine (Specifični mountainski naresak)	drniski-zacinjeni-vrat-s-planine-specificni-mountainski-naresak	MISSING_TITLE	MISSING_DESC
dry_recipe	2438	Komiški Brudet Narezak	komiski-brudet-narezak	MISSING_TITLE	MISSING_DESC
dry_recipe	2439	Šibenski Vjetrenjak	sibenski-vjetrenjak	MISSING_TITLE	MISSING_DESC
dry_recipe	2440	Splitski Maestral Narezak	splitski-maestral-narezak	MISSING_TITLE	MISSING_DESC
dry_recipe	2441	Trogirski Zephyr	trogirski-zephyr	MISSING_TITLE	MISSING_DESC
dry_recipe	2442	Makarski Jugo Narezak	makarski-jugo-narezak	MISSING_TITLE	MISSING_DESC
dry_recipe	2524	Skirts and Kidneys (Tradicionalna irska marinirana goveđa dijafragma)	skirts-and-kidneys-tradicionalna-irska-marinirana-goveda-dijafragma	MISSING_TITLE	MISSING_DESC
dry_recipe	2525	Dulse and Yellowman Bacon (Slanina s morskom travom)	dulse-and-yellowman-bacon-slanina-s-morskom-travom	MISSING_TITLE	MISSING_DESC
dry_recipe	2526	Caillín Báin (Bieli spek - Irska verzija slanine sa začinima)	caillin-bain-bieli-spek-irska-verzija-slanine-sa-zacinima	MISSING_TITLE	MISSING_DESC
dry_recipe	2527	Marrowbone Roll (Rolana kobasica s koštanom srži)	marrowbone-roll-rolana-kobasica-s-kostanom-srzi	MISSING_TITLE	MISSING_DESC
dry_recipe	2528	Fadge Pudding (Krumpirovo-krvna kobasica)	fadge-pudding-krumpirovo-krvna-kobasica	MISSING_TITLE	MISSING_DESC
dry_recipe	2529	Irski soljena govedina (Corned Beef)	irski-soljena-govedina-corned-beef	MISSING_TITLE	MISSING_DESC
dry_recipe	2530	Irska šunka u pivu (Beer-Cured Ham)	irska-sunka-u-pivu-beer-cured-ham	MISSING_TITLE	MISSING_DESC
dry_recipe	2531	Slátur (Islandska krvavica)	slatur-islandska-krvavica	MISSING_TITLE	MISSING_DESC
dry_recipe	2532	Svið (Dimljena janjeća glava)	svid-dimljena-janjeca-glava	MISSING_TITLE	MISSING_DESC
dry_recipe	2533	Bjúgu (Islandska dimljena kobasica)	bjugu-islandska-dimljena-kobasica	MISSING_TITLE	MISSING_DESC
dry_recipe	2534	Torfær​ður Lambahryggur (Zakopana janjeća leđa)	torfaerdur-lambahryggur-zakopana-janjeca-leda	MISSING_TITLE	MISSING_DESC
dry_recipe	2539	Sviðasulta (Želatinizirano janjeće meso s glave)	svidasulta-zelatinizirano-janjece-meso-s-glave	MISSING_TITLE	MISSING_DESC
dry_recipe	2540	Hrútspungar (Prešana janjeća muda)	hrutspungar-presana-janjeca-muda	MISSING_TITLE	MISSING_DESC
dry_recipe	2543	Lundabaggar (Dimljena prskalina od janjetine)	lundabaggar-dimljena-prskalina-od-janjetine	MISSING_TITLE	MISSING_DESC
dry_recipe	2444	Drniški pršut iz zaleđa (rijetka varijanta)	drniski-prsut-iz-zaleda-rijetka-varijanta	MISSING_TITLE	MISSING_DESC
