ID,post_title,post_name,url,http_code,html_forbidden_count,html_forbidden_terms,has_granulation_mm_html,has_casing_html,has_garlic_html
2061,PROSCIUTTO DI PARMA &#8211; PARMSKA ŠUNKA,prosciutto-di-parma-parmska-sunka,https://drycured.com/recepti-baza/prosciutto-di-parma-parmska-sunka/,200,63,hladna masa; fallback; radni recept,1,1,1
2062,PANCETTA ARROTOLATA &#8211; ROLANA PANCETA,pancetta-arrotolata-rolana-panceta,https://drycured.com/recepti-baza/pancetta-arrotolata-rolana-panceta/,200,63,hladna masa; fallback; radni recept,1,1,1
2063,FINOCCHIONA TOSCANA &#8211; TOSKANSKA KOBASICA S KOMORAČEM,finocchiona-toscana-toskanska-kobasica-s-komoracem,https://drycured.com/recepti-baza/finocchiona-toscana-toskanska-kobasica-s-komoracem/,200,65,prema receptu; hladna masa; fallback; radni recept,1,1,1
2064,COPPA (CAPOCOLLO) &#8211; TALIJANSKA VRATINA,coppa-capocollo-talijanska-vratina,https://drycured.com/recepti-baza/coppa-capocollo-talijanska-vratina/,200,5,hladna masa; fallback,1,1,1
2072,Njeguški pršut,njeguski-prsut,https://drycured.com/recepti-baza/njeguski-prsut/,200,63,hladna masa; fallback; radni recept,1,1,1
2075,Vrgorački kulen iz zaboravljenih recepata,vrgoracki-kulen-iz-zaboravljenih-recepata,https://drycured.com/recepti-baza/vrgoracki-kulen-iz-zaboravljenih-recepata/,200,64,prema receptu; hladna masa; fallback; radni recept,1,1,1
2076,Senjska Morska Panceta &#8220;Bura Intenzitet&#8221;,senjska-morska-panceta-bura-intenzitet,https://drycured.com/recepti-baza/senjska-morska-panceta-bura-intenzitet/,200,63,hladna masa; fallback; radni recept,1,1,1
2078,ANDOUILLE DE VIRE,andouille-de-vire,https://drycured.com/recepti-baza/andouille-de-vire/,200,66,prema receptu; hladna masa; fallback; radni recept,1,1,1
2079,COPPA CORSE,coppa-corse,https://drycured.com/recepti-baza/coppa-corse/,200,63,hladna masa; fallback; radni recept,1,1,1
2080,SAUCISSE DE MORTEAU,saucisse-de-morteau,https://drycured.com/recepti-baza/saucisse-de-morteau/,200,65,prema receptu; hladna masa; fallback; radni recept,1,1,1
