ID,post_title,post_name,url,http_code,html_forbidden_count,html_forbidden_terms,has_granulation_mm_html,has_casing_html,has_garlic_html
2587,VOSSAKORV (TRADICIONALNA DIMLJENA KOBASICA IZ VOSSA),vossakorv-tradicionalna-dimljena-kobasica-iz-vossa,https://drycured.com/recepti-baza/vossakorv-tradicionalna-dimljena-kobasica-iz-vossa/,200,64,prema receptu; hladna masa; fallback; radni recept,1,1,1
2589,SPEKELÅR (SUŠENA I DIMLJENA JELEN/SRNETINA),spekelar-susena-i-dimljena-jelen-srnetina,https://drycured.com/recepti-baza/spekelar-susena-i-dimljena-jelen-srnetina/,200,63,hladna masa; fallback; radni recept,1,1,1
2594,GRAVET LAKS (GRAVLAKS &#8211; MARINIRANI LOSOS),gravet-laks-gravlaks-marinirani-losos,https://drycured.com/recepti-baza/gravet-laks-gravlaks-marinirani-losos/,200,63,hladna masa; fallback; radni recept,1,1,1
2597,FENALÅR (SUŠENI BUT JANJETA),fenalar-suseni-but-janjeta,https://drycured.com/recepti-baza/fenalar-suseni-but-janjeta/,200,63,hladna masa; fallback; radni recept,1,1,1
2598,SPEKESKINKE (NORŠKA PRŠUTA),spekeskinke-norska-prsuta,https://drycured.com/recepti-baza/spekeskinke-norska-prsuta/,200,63,hladna masa; fallback; radni recept,1,1,1
2600,MORR (NORVEŠKA KOBASICA),morr-norveska-kobasica,https://drycured.com/recepti-baza/morr-norveska-kobasica/,200,64,prema receptu; hladna masa; fallback; radni recept,1,1,1
2603,Vinkovački Aromatični Začinski Špek,vinkovacki-aromaticni-zacinski-spek,https://drycured.com/recepti-baza/vinkovacki-aromaticni-zacinski-spek/,200,63,hladna masa; fallback; radni recept,1,1,1
2604,Osiječki Ljuti Začinski Vrat s Divljim Travkama,osijecki-ljuti-zacinski-vrat-s-divljim-travkama,https://drycured.com/recepti-baza/osijecki-ljuti-zacinski-vrat-s-divljim-travkama/,200,5,hladna masa; fallback,1,1,1
2606,Požeški Aromatični Sušeni Vrat s Divljim Travkama,pozeski-aromaticni-suseni-vrat-s-divljim-travkama,https://drycured.com/recepti-baza/pozeski-aromaticni-suseni-vrat-s-divljim-travkama/,200,5,hladna masa; fallback,1,1,1
2608,Kuru Et (Suho meso sa smrekom),kuru-et-suho-meso-sa-smrekom,https://drycured.com/recepti-baza/kuru-et-suho-meso-sa-smrekom/,200,63,hladna masa; fallback; radni recept,1,1,1
2610,Tulum Peyniri Dolgulu Et (Meso punjeno sirom),tulum-peyniri-dolgulu-et-meso-punjeno-sirom,https://drycured.com/recepti-baza/tulum-peyniri-dolgulu-et-meso-punjeno-sirom/,200,63,hladna masa; fallback; radni recept,1,1,1
2614,Virovski Čvarci,virovski-cvarci,https://drycured.com/recepti-baza/virovski-cvarci/,200,63,hladna masa; fallback; radni recept,1,1,1
2616,BALERON (POLJSKA DIMLJENA VRATINA),baleron-poljska-dimljena-vratina,https://drycured.com/recepti-baza/baleron-poljska-dimljena-vratina/,200,63,hladna masa; fallback; radni recept,1,1,1
2620,SZYNKA WĘDZONA (DIMLJENA ŠUNKA),szynka-wedzona-dimljena-sunka,https://drycured.com/recepti-baza/szynka-wedzona-dimljena-sunka/,200,63,hladna masa; fallback; radni recept,1,1,1
2621,BOCZEK WĘDZONY (DIMLJENA SLANINA),boczek-wedzony-dimljena-slanina,https://drycured.com/recepti-baza/boczek-wedzony-dimljena-slanina/,200,63,hladna masa; fallback; radni recept,1,1,1
2622,Chouriço Tradicional Português (Tradicionalna portugalska kobasica),chourico-tradicional-portugues-tradicionalna-portugalska-kobasica,https://drycured.com/recepti-baza/chourico-tradicional-portugues-tradicionalna-portugalska-kobasica/,200,68,prema receptu; hladna masa; fallback; radni recept,1,1,1
2623,Presunto Português (Portugalska pršuta),presunto-portugues-portugalska-prsuta,https://drycured.com/recepti-baza/presunto-portugues-portugalska-prsuta/,200,63,hladna masa; fallback; radni recept,1,1,1
2624,Paio Alentejano (Alentejanska kobasica),paio-alentejano-alentejanska-kobasica,https://drycured.com/recepti-baza/paio-alentejano-alentejanska-kobasica/,200,68,prema receptu; hladna masa; fallback; radni recept,1,1,1
2625,Farinheira Alentejana (Kobasica s brašnom iz Alenteja),farinheira-alentejana-kobasica-s-brasnom-iz-alenteja,https://drycured.com/recepti-baza/farinheira-alentejana-kobasica-s-brasnom-iz-alenteja/,200,68,prema receptu; hladna masa; fallback; radni recept,1,1,1
2627,Chouriço de Vinho (Kobasica s Vinom),chourico-de-vinho-kobasica-s-vinom,https://drycured.com/recepti-baza/chourico-de-vinho-kobasica-s-vinom/,200,68,prema receptu; hladna masa; fallback; radni recept,1,1,1
2628,Paio do Alentejo (Alentejo Dimljena Kobasica),paio-do-alentejo-alentejo-dimljena-kobasica,https://drycured.com/recepti-baza/paio-do-alentejo-alentejo-dimljena-kobasica/,200,68,prema receptu; hladna masa; fallback; radni recept,1,1,1
2629,Alheira de Mirandela (Kobasica iz Mirandele),alheira-de-mirandela-kobasica-iz-mirandele,https://drycured.com/recepti-baza/alheira-de-mirandela-kobasica-iz-mirandele/,200,68,prema receptu; hladna masa; fallback; radni recept,1,1,1
2631,Rovinjska Kobasica,rovinjska-kobasica,https://drycured.com/recepti-baza/rovinjska-kobasica/,200,68,prema receptu; hladna masa; fallback; radni recept,1,1,1
2632,Krčki Sir-Kobasica,krcki-sir-kobasica,https://drycured.com/recepti-baza/krcki-sir-kobasica/,200,64,prema receptu; hladna masa; fallback; radni recept,1,1,1
2633,Senjska Šunka,senjska-sunka,https://drycured.com/recepti-baza/senjska-sunka/,200,63,hladna masa; fallback; radni recept,1,1,1
2637,Tradicionalni Thüringer Schinken (Tirinška šunka),tradicionalni-thuringer-schinken-tirinska-sunka,https://drycured.com/recepti-baza/tradicionalni-thuringer-schinken-tirinska-sunka/,200,63,hladna masa; fallback; radni recept,1,1,1
2638,Bavarski Bierschinken (Šunka od piva),bavarski-bierschinken-sunka-od-piva,https://drycured.com/recepti-baza/bavarski-bierschinken-sunka-od-piva/,200,63,hladna masa; fallback; radni recept,1,1,1
2645,Viganjska kobasica od divlje svinje s tavom,viganjska-kobasica-od-divlje-svinje-s-tavom,https://drycured.com/recepti-baza/viganjska-kobasica-od-divlje-svinje-s-tavom/,200,68,prema receptu; hladna masa; fallback; radni recept,1,1,1
2664,BABIC (Tradicionalna babić kobasica),babic-tradicionalna-babic-kobasica,https://drycured.com/recepti-baza/babic-tradicionalna-babic-kobasica/,200,64,prema receptu; hladna masa; fallback; radni recept,1,1,1
2665,MUȘCHI ȚIGĂNESC (Ciganski vrat),muschi-tiganesc-ciganski-vrat,https://drycured.com/recepti-baza/muschi-tiganesc-ciganski-vrat/,200,63,hladna masa; fallback; radni recept,1,1,1
2666,CÂRNAȚI DE BURDUF (Sirnate kobasice),carnati-de-burduf-sirnate-kobasice,https://drycured.com/recepti-baza/carnati-de-burduf-sirnate-kobasice/,200,64,prema receptu; hladna masa; fallback; radni recept,1,1,1
2667,ȘUNCĂ DE MANGALIȚA AFUMATĂ (Dimljena mangulica šunka),sunca-de-mangalita-afumata-dimljena-mangulica-sunka,https://drycured.com/recepti-baza/sunca-de-mangalita-afumata-dimljena-mangulica-sunka/,200,63,hladna masa; fallback; radni recept,1,1,1
2668,CÂRNAŢI DE PLEŞCOI (Pleščojske kobasice),carnati-de-plescoi-plescojske-kobasice,https://drycured.com/recepti-baza/carnati-de-plescoi-plescojske-kobasice/,200,64,prema receptu; hladna masa; fallback; radni recept,1,1,1
2670,GHIUDEM (Suha kobasica od ovčetine),ghiudem-suha-kobasica-od-ovcetine,https://drycured.com/recepti-baza/ghiudem-suha-kobasica-od-ovcetine/,200,64,prema receptu; hladna masa; fallback; radni recept,1,1,1
2682,HIGHLAND VENISON HAM (DIMLJENA ŠUNKA OD JELENA),highland-venison-ham-dimljena-sunka-od-jelena,https://drycured.com/recepti-baza/highland-venison-ham-dimljena-sunka-od-jelena/,200,63,hladna masa; fallback; radni recept,1,1,1
2683,EDINBURGH POTTED HOG (KONZERVIRANO SVINJSKO MESO),edinburgh-potted-hog-konzervirano-svinjsko-meso,https://drycured.com/recepti-baza/edinburgh-potted-hog-konzervirano-svinjsko-meso/,200,63,hladna masa; fallback; radni recept,1,1,1
2684,ŠKOTSKI HAGGIS,skotski-haggis,https://drycured.com/recepti-baza/skotski-haggis/,200,63,hladna masa; fallback; radni recept,1,1,1
2687,AYRSHIRE PRESAVICA (AYRSHIRE MIDDLE CUT),ayrshire-presavica-ayrshire-middle-cut,https://drycured.com/recepti-baza/ayrshire-presavica-ayrshire-middle-cut/,200,63,hladna masa; fallback; radni recept,1,1,1
2688,HIGHLANDS JERKY (SUŠENA DIVLJAČ),highlands-jerky-susena-divljac,https://drycured.com/recepti-baza/highlands-jerky-susena-divljac/,200,63,hladna masa; fallback; radni recept,1,1,1
2689,KopačkiRib Začinska Štruca,kopackirib-zacinska-struca,https://drycured.com/recepti-baza/kopackirib-zacinska-struca/,200,63,hladna masa; fallback; radni recept,1,1,1
2691,Valpovačka Zimska Devenica,valpovacka-zimska-devenica,https://drycured.com/recepti-baza/valpovacka-zimska-devenica/,200,63,hladna masa; fallback; radni recept,1,1,1
2692,Požeška Začinska Štruca,pozeska-zacinska-struca,https://drycured.com/recepti-baza/pozeska-zacinska-struca/,200,63,hladna masa; fallback; radni recept,1,1,1
2693,Osječki Začinski Špek,osjecki-zacinski-spek,https://drycured.com/recepti-baza/osjecki-zacinski-spek/,200,63,hladna masa; fallback; radni recept,1,1,1
2694,Požeški Pikantni Vrat,pozeski-pikantni-vrat,https://drycured.com/recepti-baza/pozeski-pikantni-vrat/,200,5,hladna masa; fallback,1,1,1
2695,Slavonsko-Brodski Ljuti Čvarci,slavonsko-brodski-ljuti-cvarci,https://drycured.com/recepti-baza/slavonsko-brodski-ljuti-cvarci/,200,63,hladna masa; fallback; radni recept,1,1,1
2696,Nasički Fermentirani Vrat,nasicki-fermentirani-vrat,https://drycured.com/recepti-baza/nasicki-fermentirani-vrat/,200,5,hladna masa; fallback,1,1,1
2697,Baranjska Ljuta Slavonska Kobasica,baranjska-ljuta-slavonska-kobasica,https://drycured.com/recepti-baza/baranjska-ljuta-slavonska-kobasica/,200,68,prema receptu; hladna masa; fallback; radni recept,1,1,1
2698,Slavonska Domaća Suhomesnata Salama,slavonska-domaca-suhomesnata-salama,https://drycured.com/recepti-baza/slavonska-domaca-suhomesnata-salama/,200,68,prema receptu; hladna masa; fallback; radni recept,1,1,1
2699,Baranjska Fermenetirana Kobasica,baranjska-fermenetirana-kobasica,https://drycured.com/recepti-baza/baranjska-fermenetirana-kobasica/,200,64,prema receptu; hladna masa; fallback; radni recept,1,1,1
2701,Vukovarska Tradicionalna Kobasica,vukovarska-tradicionalna-kobasica,https://drycured.com/recepti-baza/vukovarska-tradicionalna-kobasica/,200,64,prema receptu; hladna masa; fallback; radni recept,1,1,1
2702,Baranjski Začinski Špek s Pustara Začinima,baranjski-zacinski-spek-s-pustara-zacinima,https://drycured.com/recepti-baza/baranjski-zacinski-spek-s-pustara-zacinima/,200,63,hladna masa; fallback; radni recept,1,1,1
2703,Erdutski Fermentirani Vrat s Podunavskim Začinima,erdutski-fermentirani-vrat-s-podunavskim-zacinima,https://drycured.com/recepti-baza/erdutski-fermentirani-vrat-s-podunavskim-zacinima/,200,5,hladna masa; fallback,1,1,1
2704,Osječko-Baranjski Ljuti Špek s Divljim Travama,osjecko-baranjski-ljuti-spek-s-divljim-travama,https://drycured.com/recepti-baza/osjecko-baranjski-ljuti-spek-s-divljim-travama/,200,63,hladna masa; fallback; radni recept,1,1,1
2705,Vukovarski Fermentirani Vrat s Podunavskim Začinima,vukovarski-fermentirani-vrat-s-podunavskim-zacinima,https://drycured.com/recepti-baza/vukovarski-fermentirani-vrat-s-podunavskim-zacinima/,200,5,hladna masa; fallback,1,1,1
2707,Klobása (slovačka kobasica),klobasa-slovacka-kobasica,https://drycured.com/recepti-baza/klobasa-slovacka-kobasica/,200,64,prema receptu; hladna masa; fallback; radni recept,1,1,1
2708,Údené mäso (dimljeno meso),udene-maso-dimljeno-meso,https://drycured.com/recepti-baza/udene-maso-dimljeno-meso/,200,63,hladna masa; fallback; radni recept,1,1,1
2712,Koroška tunka,koroska-tunka,https://drycured.com/recepti-baza/koroska-tunka/,200,64,prema receptu; hladna masa; fallback; radni recept,1,1,1
2713,Zasavska klobasa (Zasavska kobasica),zasavska-klobasa-zasavska-kobasica,https://drycured.com/recepti-baza/zasavska-klobasa-zasavska-kobasica/,200,64,prema receptu; hladna masa; fallback; radni recept,1,1,1
2714,Prleška tünka,prleska-tunka,https://drycured.com/recepti-baza/prleska-tunka/,200,63,hladna masa; fallback; radni recept,1,1,1
2715,Idrijsko kosilo,idrijsko-kosilo,https://drycured.com/recepti-baza/idrijsko-kosilo/,200,63,hladna masa; fallback; radni recept,1,1,1
2717,Savinjski želodec (Savinjski želudac),savinjski-zelodec-savinjski-zeludac,https://drycured.com/recepti-baza/savinjski-zelodec-savinjski-zeludac/,200,63,hladna masa; fallback; radni recept,1,1,1
2718,Prekmurska šunka,prekmurska-sunka,https://drycured.com/recepti-baza/prekmurska-sunka/,200,63,hladna masa; fallback; radni recept,1,1,1
2722,Crnogorska Pršuta (Njeguška pršuta),crnogorska-prsuta-njeguska-prsuta,https://drycured.com/recepti-baza/crnogorska-prsuta-njeguska-prsuta/,200,63,hladna masa; fallback; radni recept,1,1,1
2723,Crnogorska Kastradina,crnogorska-kastradina,https://drycured.com/recepti-baza/crnogorska-kastradina/,200,63,hladna masa; fallback; radni recept,1,1,1
2724,PRINSKORV (ŠVEDSKE TANKE DIMLJENE KOBASICE),prinskorv-svedske-tanke-dimljene-kobasice,https://drycured.com/recepti-baza/prinskorv-svedske-tanke-dimljene-kobasice/,200,64,prema receptu; hladna masa; fallback; radni recept,1,1,1
2725,FLÄSKLÄGG (DIMLJENA SVINJSKA KOLJENICA),flasklagg-dimljena-svinjska-koljenica,https://drycured.com/recepti-baza/flasklagg-dimljena-svinjska-koljenica/,200,63,hladna masa; fallback; radni recept,1,1,1
2726,ÖLÄNDSK GETKORV (ÖLANDSKA KOZJA KOBASICA),olandsk-getkorv-olandska-kozja-kobasica,https://drycured.com/recepti-baza/olandsk-getkorv-olandska-kozja-kobasica/,200,64,prema receptu; hladna masa; fallback; radni recept,1,1,1
2727,KRONOBERGSKORV (KRONOBERGŠKA KOBASICA),kronobergskorv-kronobergska-kobasica,https://drycured.com/recepti-baza/kronobergskorv-kronobergska-kobasica/,200,64,prema receptu; hladna masa; fallback; radni recept,1,1,1
2728,VÄRMLANDSKORV (VÄRMLANDSKA DIMLJENA KOBASICA),varmlandskorv-varmlandska-dimljena-kobasica,https://drycured.com/recepti-baza/varmlandskorv-varmlandska-dimljena-kobasica/,200,64,prema receptu; hladna masa; fallback; radni recept,1,1,1
2729,FALUKORV (TRADICIONALNA ŠVEDSKA KOBASICA),falukorv-tradicionalna-svedska-kobasica,https://drycured.com/recepti-baza/falukorv-tradicionalna-svedska-kobasica/,200,64,prema receptu; hladna masa; fallback; radni recept,1,1,1
2730,GRAVAD LAX (ŠVEDSKI GRAVLJENI LOSOS),gravad-lax-svedski-gravljeni-losos,https://drycured.com/recepti-baza/gravad-lax-svedski-gravljeni-losos/,200,63,hladna masa; fallback; radni recept,1,1,1
2732,ISTERBAND (ŠVEDSKA FERMENTIRANA KOBASICA),isterband-svedska-fermentirana-kobasica,https://drycured.com/recepti-baza/isterband-svedska-fermentirana-kobasica/,200,64,prema receptu; hladna masa; fallback; radni recept,1,1,1
2733,SPICKESKINKA (ŠVEDSKA SUHA ŠUNKA),spickeskinka-svedska-suha-sunka,https://drycured.com/recepti-baza/spickeskinka-svedska-suha-sunka/,200,63,hladna masa; fallback; radni recept,1,1,1
2736,GLARNER KALBERWURST (TELEĆA KOBASICA IZ GLARUSA),glarner-kalberwurst-teleca-kobasica-iz-glarusa,https://drycured.com/recepti-baza/glarner-kalberwurst-teleca-kobasica-iz-glarusa/,200,68,prema receptu; hladna masa; fallback; radni recept,1,1,1
2737,CHURER SALSIZ (DIVLJAČKA KOBASICA IZ CHURA),churer-salsiz-divljacka-kobasica-iz-chura,https://drycured.com/recepti-baza/churer-salsiz-divljacka-kobasica-iz-chura/,200,64,prema receptu; hladna masa; fallback; radni recept,1,1,1
2741,AARGAUER RÜEBLIWURST (MESNATA KOBASICA S MRKVOM),aargauer-ruebliwurst-mesnata-kobasica-s-mrkvom,https://drycured.com/recepti-baza/aargauer-ruebliwurst-mesnata-kobasica-s-mrkvom/,200,68,prema receptu; hladna masa; fallback; radni recept,1,1,1
2744,WALLISER TROCKENFLEISCH (SUŠENA GOVEDINA IZ VALAISA),walliser-trockenfleisch-susena-govedina-iz-valaisa,https://drycured.com/recepti-baza/walliser-trockenfleisch-susena-govedina-iz-valaisa/,200,63,hladna masa; fallback; radni recept,1,1,1
2745,SALSIZ (ALPSKA SUHA KOBASICA),salsiz-alpska-suha-kobasica,https://drycured.com/recepti-baza/salsiz-alpska-suha-kobasica/,200,68,prema receptu; hladna masa; fallback; radni recept,1,1,1
2746,CULATELLO DI ZIBELLO,culatello-di-zibello,https://drycured.com/recepti-baza/culatello-di-zibello/,200,63,hladna masa; fallback; radni recept,1,1,1
2747,LONZINO (LOMBO),lonzino-lombo,https://drycured.com/recepti-baza/lonzino-lombo/,200,63,hladna masa; fallback; radni recept,1,1,1
2774,Jambon Persillé (Šunka u želeu s peršinom),jambon-persille-sunka-u-zeleu-s-persinom,https://drycured.com/recepti-baza/jambon-persille-sunka-u-zeleu-s-persinom/,200,63,hladna masa; fallback; radni recept,1,1,1
2778,Čvarci s Papuka &#8211; Planinski recept,cvarci-s-papuka-planinski-recept,https://drycured.com/recepti-baza/cvarci-s-papuka-planinski-recept/,200,63,hladna masa; fallback; radni recept,1,1,1
2779,Slavonski cviček (suhomesnati narez),slavonski-cvicek-suhomesnati-narez,https://drycured.com/recepti-baza/slavonski-cvicek-suhomesnati-narez/,200,63,hladna masa; fallback; radni recept,1,1,1
2780,Slavonski pikantni vrat,slavonski-pikantni-vrat,https://drycured.com/recepti-baza/slavonski-pikantni-vrat/,200,5,hladna masa; fallback,1,1,1
2781,Esencijalni slavonski sušeni vrat s divljim začinima,esencijalni-slavonski-suseni-vrat-s-divljim-zacinima,https://drycured.com/recepti-baza/esencijalni-slavonski-suseni-vrat-s-divljim-zacinima/,200,5,hladna masa; fallback,1,1,1
2972,Slavonski kulen (PDO EU),hr-sl-001-slavonski-kulen-pdo-eu,https://drycured.com/recepti-baza/hr-sl-001-slavonski-kulen-pdo-eu/,200,9,prema receptu; hladna masa; fallback,1,1,1
2973,Kulenova seka,hr-sl-002-kulenova-seka,https://drycured.com/recepti-baza/hr-sl-002-kulenova-seka/,200,11,prema receptu; hladna masa; fallback,1,1,1
2974,Baranjski kulen (ZOZP EU),hr-sl-003-baranjski-kulen-zozp-eu,https://drycured.com/recepti-baza/hr-sl-003-baranjski-kulen-zozp-eu/,200,11,prema receptu; hladna masa; fallback,1,1,1
2975,Đakovački kulen,hr-sl-004-dakovacki-kulen,https://drycured.com/recepti-baza/hr-sl-004-dakovacki-kulen/,200,11,prema receptu; hladna masa; fallback,1,1,1
2976,Slavonska domaća kobasica,hr-sl-005-slavonska-domaca-kobasica,https://drycured.com/recepti-baza/hr-sl-005-slavonska-domaca-kobasica/,200,13,prema receptu; hladna masa; fallback,1,1,1
2977,Srijemska kobasica (OGP),hr-sl-006-srijemska-kobasica-ogp,https://drycured.com/recepti-baza/hr-sl-006-srijemska-kobasica-ogp/,200,13,prema receptu; hladna masa; fallback,1,1,1
2979,Baranjska kobasica,hr-sl-008-baranjska-kobasica,https://drycured.com/recepti-baza/hr-sl-008-baranjska-kobasica/,200,13,prema receptu; hladna masa; fallback,1,1,1
2981,Slavonska kobasica (ZOI EU 2023),hr-sl-010-slavonska-kobasica-zoi-eu-2023,https://drycured.com/recepti-baza/hr-sl-010-slavonska-kobasica-zoi-eu-2023/,200,13,prema receptu; hladna masa; fallback,1,1,1
2996,Brodska kobasica (Slavonski Brod),hr-sl-030-brodska-kobasica-slavonski-brod,https://drycured.com/recepti-baza/hr-sl-030-brodska-kobasica-slavonski-brod/,200,13,prema receptu; hladna masa; fallback,1,1,1
2997,Osječka kobasica,hr-sl-031-osjecka-kobasica,https://drycured.com/recepti-baza/hr-sl-031-osjecka-kobasica/,200,13,prema receptu; hladna masa; fallback,1,1,1
3000,Slavonska domaća salama,hr-sl-034-slavonska-domaca-salama,https://drycured.com/recepti-baza/hr-sl-034-slavonska-domaca-salama/,200,11,prema receptu; hladna masa; fallback,1,1,1
3001,Slavonska čvarkovača (kobasica od čvaraka),hr-sl-036-slavonska-cvarkovaca-kobasica-od-cvaraka,https://drycured.com/recepti-baza/hr-sl-036-slavonska-cvarkovaca-kobasica-od-cvaraka/,200,13,prema receptu; hladna masa; fallback,1,1,1
3002,Vinkovačka kobasica,hr-sl-037-vinkovacka-kobasica,https://drycured.com/recepti-baza/hr-sl-037-vinkovacka-kobasica/,200,13,prema receptu; hladna masa; fallback,1,1,1
3003,Slavonska lovačka kobasica (divljač + svinjetina),hr-sl-038-slavonska-lovacka-kobasica-divljac-svinjetina,https://drycured.com/recepti-baza/hr-sl-038-slavonska-lovacka-kobasica-divljac-svinjetina/,200,13,prema receptu; hladna masa; fallback,1,1,1
3024,Irska dimljena kobasica (Smoked Sausage),irska-dimljena-kobasica-smoked-sausage,https://drycured.com/recepti-baza/irska-dimljena-kobasica-smoked-sausage/,200,65,prema receptu; hladna masa; fallback; radni recept,1,1,1
3025,Pršuta e Kosovës (Kosovska pršuta),prsuta-e-kosoves-kosovska-prsuta-2,https://drycured.com/recepti-baza/prsuta-e-kosoves-kosovska-prsuta-2/,200,63,hladna masa; fallback; radni recept,1,1,1
3026,Scharfe Edelrohwurst s povrćem na žaru,scharfe-edelrohwurst-s-povrcem-na-zaru,https://drycured.com/recepti-baza/scharfe-edelrohwurst-s-povrcem-na-zaru/,200,66,prema receptu; hladna masa; fallback; radni recept,1,1,1
3027,ENGADINER HATECLETT (SUŠENI KOZJI BUT),engadiner-hateclett-suseni-kozji-but-2,https://drycured.com/recepti-baza/engadiner-hateclett-suseni-kozji-but-2/,200,5,hladna masa; fallback,1,1,1
3028,ZUGER HIRSCHTROCKENWURST (KOBASICA OD JELENA IZ ZUGA),zuger-hirschtrockenwurst-kobasica-od-jelena-iz-zuga-2,https://drycured.com/recepti-baza/zuger-hirschtrockenwurst-kobasica-od-jelena-iz-zuga-2/,200,64,prema receptu; hladna masa; fallback; radni recept,1,1,1
3029,Tiroler Speck – tirolski sušeni dimljeni svinjski but,tiroler-speck-tirolska-slanina-2,https://drycured.com/recepti-baza/tiroler-speck-tirolska-slanina-2/,200,63,hladna masa; fallback; radni recept,1,1,1
3030,Waldviertler Hirschsalami – salama od jelena iz Waldviertela,waldviertler-hirschsalami-salama-od-jelena-iz-waldviertela-2,https://drycured.com/recepti-baza/waldviertler-hirschsalami-salama-od-jelena-iz-waldviertela-2/,200,64,prema receptu; hladna masa; fallback; radni recept,1,1,1
3032,Mađarska Gyulai Kolbász – Gyulai kobasica,maarska-gyulai-kolbasz-gyulai-kobasica,https://drycured.com/recepti-baza/maarska-gyulai-kolbasz-gyulai-kobasica/,200,64,prema receptu; hladna masa; fallback; radni recept,1,1,1
3033,Lukanka iz Panagyurishte – bugarska prešana suha kobasica,lukanka-iz-panagyurishte,https://drycured.com/recepti-baza/lukanka-iz-panagyurishte/,200,64,prema receptu; hladna masa; fallback; radni recept,1,1,1
3035,Strandzhansko Dyado – bugarski sušeni punjeni proizvod,strandzhansko-dyado,https://drycured.com/recepti-baza/strandzhansko-dyado/,200,64,prema receptu; hladna masa; fallback; radni recept,1,1,1
3037,Dobrudzhanski Babek – bugarski sušeni babek,dobrudzhanski-babek,https://drycured.com/recepti-baza/dobrudzhanski-babek/,200,64,prema receptu; hladna masa; fallback; radni recept,1,1,1
3038,Grčki Loukaniko – tradicionalna grčka kobasica,grcka-tradicionalni-recepti-za-loukaniko-2,https://drycured.com/recepti-baza/grcka-tradicionalni-recepti-za-loukaniko-2/,200,64,prema receptu; hladna masa; fallback; radni recept,1,1,1
3039,Joulukinkku – finska božićna šunka,joulukinkku-bozicna-sunka-2,https://drycured.com/recepti-baza/joulukinkku-bozicna-sunka-2/,200,63,hladna masa; fallback; radni recept,1,1,1
3041,Saucisson Sec – francuska suha kobasica,saucisson-sec-suha-kobasica-2,https://drycured.com/recepti-baza/saucisson-sec-suha-kobasica-2/,200,64,prema receptu; hladna masa; fallback; radni recept,1,1,1
3042,Jésus de Lyon – debela suha kobasica,jesus-de-lyon-debela-suha-kobasica,https://drycured.com/recepti-baza/jesus-de-lyon-debela-suha-kobasica/,200,6,prema receptu; hladna masa; fallback,1,1,1
3044,Jésus de Lyon – velika lionska suha kobasica,jesus-de-lyon-2,https://drycured.com/recepti-baza/jesus-de-lyon-2/,200,64,prema receptu; hladna masa; fallback; radni recept,1,1,1
3045,Rosette de Lyon – lionska suha kobasica,rosette-de-lyon-2,https://drycured.com/recepti-baza/rosette-de-lyon-2/,200,64,prema receptu; hladna masa; fallback; radni recept,1,1,1
3047,Siglino Messinias – grčka dimljena svinjetina,siglino-messinias,https://drycured.com/recepti-baza/siglino-messinias/,200,63,hladna masa; fallback; radni recept,1,1,1
3050,Pancetta Maltija – malteška panceta,maltezanska-panceta-pancetta-maltija-2,https://drycured.com/recepti-baza/maltezanska-panceta-pancetta-maltija-2/,200,63,hladna masa; fallback; radni recept,1,1,1
3051,Pick Szalámi – mađarski Pick salami,maarski-pick-salami-pick-szalami,https://drycured.com/recepti-baza/maarski-pick-salami-pick-szalami/,200,64,prema receptu; hladna masa; fallback; radni recept,1,1,1
3052,Mađarska Kolbász – mađarska kobasica,maarska-kobasica-kolbasz,https://drycured.com/recepti-baza/maarska-kobasica-kolbasz/,200,64,prema receptu; hladna masa; fallback; radni recept,1,1,1
3053,Westfälischer Knochenschinken – vestfalska šunka s kosti,westfalischer-knochenschinken-vestfalska-sunka-s-kosti,https://drycured.com/recepti-baza/westfalischer-knochenschinken-vestfalska-sunka-s-kosti/,200,63,hladna masa; fallback; radni recept,1,1,1
3055,Salo – ukrajinska slana svinjska slanina,salo-slana-svinjeca-slanina,https://drycured.com/recepti-baza/salo-slana-svinjeca-slanina/,200,63,hladna masa; fallback; radni recept,1,1,1
3057,Belokranjska jagenjčara,belokranjska-jagenjcara-2,https://drycured.com/recepti-baza/belokranjska-jagenjcara-2/,200,64,prema receptu; hladna masa; fallback; radni recept,1,1,1
3058,Sobrasada Mallorquina – majorška sobrasada,sobrasada-mallorquina-majorska-sobrasada-2,https://drycured.com/recepti-baza/sobrasada-mallorquina-majorska-sobrasada-2/,200,64,prema receptu; hladna masa; fallback; radni recept,1,1,1
3060,Appenzeller Mostbröckli – švicarska sušena dimljena govedina,appenzeller-mostbrockli-dimljena-govedina,https://drycured.com/recepti-baza/appenzeller-mostbrockli-dimljena-govedina/,200,63,hladna masa; fallback; radni recept,1,1,1
3061,Speck Alto Adige – južnotirolski sušeni dimljeni but,speck-alto-adige-2,https://drycured.com/recepti-baza/speck-alto-adige-2/,200,63,hladna masa; fallback; radni recept,1,1,1
3063,Suxhuk – albanska suha kobasica,suxhuk-albanska-suha-kobasica-2,https://drycured.com/recepti-baza/suxhuk-albanska-suha-kobasica-2/,200,64,prema receptu; hladna masa; fallback; radni recept,1,1,1
3064,Proshuta Shqiptare – albanska pršuta,0003-proshuta-shqiptare-albanska-prsuta,https://drycured.com/recepti-baza/0003-proshuta-shqiptare-albanska-prsuta/,200,68,hladna masa; fallback; radni recept,1,1,1
