post_id,title,url,post_status,detected_type,v1_1_final_type,v1_1_public_update_gate,v1_1_work_priority,v1_1_type_reason,v1_1_block_reasons,has_granulation,has_fat_handling,has_casing,has_brine_or_cure,has_thermal_process,has_thermal_params,has_cold_chain,has_smoking,has_drying,has_aging,has_nitrite,has_nitrite_note,has_fallback_internal
2052,Jamón Ibérico de Bellota &#8211; Iberijski Pršut od Žira,https://drycured.com/recepti-baza/jamon-iberico-de-bellota-iberijski-prsut-od-zira/,publish,WHOLE_CUT,WHOLE_CUT,FAIL,A_PUBLIC_BLOCKED,WHOLE_CUT_TITLE:prsut,PUBLIC_OR_META_INTERNAL_TEXT_HIT,0,1,1,1,0,1,1,1,1,1,0,0,1
2053,Chorizo de Pamplona &#8211; Čorizo iz Pamplone,https://drycured.com/recepti-baza/chorizo-de-pamplona-corizo-iz-pamplone/,publish,GROUND_MEAT_OR_CASING,GROUND_MEAT_OR_CASING,FAIL,A_PUBLIC_BLOCKED,,PUBLIC_OR_META_INTERNAL_TEXT_HIT,1,1,1,1,1,1,1,1,1,1,0,0,1
2055,Coppa Piacentina &#8211; Piacentinska Coppa,https://drycured.com/recepti-baza/coppa-piacentina-piacentinska-coppa/,publish,GROUND_MEAT_OR_CASING,WHOLE_CUT,FAIL,A_PUBLIC_BLOCKED,WHOLE_CUT_TITLE:coppa,PUBLIC_OR_META_INTERNAL_TEXT_HIT,1,1,1,1,0,1,1,1,1,1,0,0,1
2056,Nduja Calabrese &#8211; Kalabrijska Nduja,https://drycured.com/recepti-baza/nduja-calabrese-kalabrijska-nduja/,publish,WHOLE_CUT,WHOLE_CUT,FAIL,A_PUBLIC_BLOCKED,,PUBLIC_OR_META_INTERNAL_TEXT_HIT,0,1,1,1,0,1,1,1,1,1,0,0,1
2057,Bresaola Valtellinese &#8211; Valtelinska Bresaola,https://drycured.com/recepti-baza/bresaola-valtellinese-valtelinska-bresaola/,publish,WHOLE_CUT,WHOLE_CUT,FAIL,A_PUBLIC_BLOCKED,WHOLE_CUT_TITLE:bresaola,PUBLIC_OR_META_INTERNAL_TEXT_HIT,0,1,1,1,0,1,1,1,1,1,0,0,1
2058,Guanciale Romano &#8211; Rimski Guanciale,https://drycured.com/recepti-baza/guanciale-romano-rimski-guanciale/,publish,GROUND_MEAT_OR_CASING,WHOLE_CUT,FAIL,A_PUBLIC_BLOCKED,WHOLE_CUT_TITLE:guanciale,PUBLIC_OR_META_INTERNAL_TEXT_HIT,1,1,1,1,0,1,1,1,1,1,0,0,1
2059,SALAME MILANO &#8211; MILANSKA SALAMA,https://drycured.com/recepti-baza/salame-milano-milanska-salama/,publish,GROUND_MEAT_OR_CASING,GROUND_MEAT_OR_CASING,FAIL,A_PUBLIC_BLOCKED,,NITRITE_WITHOUT_SAFETY_NOTE;PUBLIC_OR_META_INTERNAL_TEXT_HIT,1,1,1,1,1,1,1,1,1,1,1,0,1
2060,SOPPRESSATA CALABRESE &#8211; KALABRIJSKA SOPPRESSATA,https://drycured.com/recepti-baza/soppressata-calabrese-kalabrijska-soppressata/,publish,GROUND_MEAT_OR_CASING,GROUND_MEAT_OR_CASING,FAIL,A_PUBLIC_BLOCKED,,NITRITE_WITHOUT_SAFETY_NOTE;PUBLIC_OR_META_INTERNAL_TEXT_HIT,1,1,1,1,0,1,1,1,1,1,1,0,1
2061,PROSCIUTTO DI PARMA &#8211; PARMSKA ŠUNKA,https://drycured.com/recepti-baza/prosciutto-di-parma-parmska-sunka/,publish,WHOLE_CUT,WHOLE_CUT,FAIL,A_PUBLIC_BLOCKED,"WHOLE_CUT_TITLE:prosciutto,parma,sunka",PUBLIC_OR_META_INTERNAL_TEXT_HIT,0,1,1,1,0,1,1,1,1,1,0,0,1
2062,PANCETTA ARROTOLATA &#8211; ROLANA PANCETA,https://drycured.com/recepti-baza/pancetta-arrotolata-rolana-panceta/,publish,WHOLE_CUT,WHOLE_CUT,FAIL,A_PUBLIC_BLOCKED,"WHOLE_CUT_TITLE:pancetta,panceta",NITRITE_WITHOUT_SAFETY_NOTE;PUBLIC_OR_META_INTERNAL_TEXT_HIT,0,1,1,1,0,1,1,1,1,1,1,0,1
2063,FINOCCHIONA TOSCANA &#8211; TOSKANSKA KOBASICA S KOMORAČEM,https://drycured.com/recepti-baza/finocchiona-toscana-toskanska-kobasica-s-komoracem/,publish,GROUND_MEAT_OR_CASING,GROUND_MEAT_OR_CASING,FAIL,A_PUBLIC_BLOCKED,,PUBLIC_OR_META_INTERNAL_TEXT_HIT,1,1,1,1,1,1,1,1,1,1,0,0,1
2072,Njeguški pršut,https://drycured.com/recepti-baza/njeguski-prsut/,publish,WHOLE_CUT,WHOLE_CUT,FAIL,A_PUBLIC_BLOCKED,WHOLE_CUT_TITLE:prsut,PUBLIC_OR_META_INTERNAL_TEXT_HIT,0,1,1,1,0,1,1,1,1,1,0,0,1
2075,Vrgorački kulen iz zaboravljenih recepata,https://drycured.com/recepti-baza/vrgoracki-kulen-iz-zaboravljenih-recepata/,publish,GROUND_MEAT_OR_CASING,GROUND_MEAT_OR_CASING,FAIL,A_PUBLIC_BLOCKED,,PUBLIC_OR_META_INTERNAL_TEXT_HIT,1,1,1,1,1,1,1,1,1,1,0,0,1
2076,Senjska Morska Panceta &#8220;Bura Intenzitet&#8221;,https://drycured.com/recepti-baza/senjska-morska-panceta-bura-intenzitet/,publish,WHOLE_CUT,WHOLE_CUT,FAIL,A_PUBLIC_BLOCKED,WHOLE_CUT_TITLE:panceta,PUBLIC_OR_META_INTERNAL_TEXT_HIT,0,1,1,1,0,1,1,1,1,1,0,0,1
2078,ANDOUILLE DE VIRE,https://drycured.com/recepti-baza/andouille-de-vire/,publish,GROUND_MEAT_OR_CASING,GROUND_MEAT_OR_CASING,FAIL,A_PUBLIC_BLOCKED,,PUBLIC_OR_META_INTERNAL_TEXT_HIT,1,1,1,1,1,1,1,1,1,1,0,0,1
